Top 5 Trials for direction_14_trials_GRU by Validation Loss:

             model_type trial_id  val_loss  val_accuracy  accuracy  composite_score  num_GRU_layers  units_first activation kernel_initializer  dropout  recurrent_dropout  num_dense_layers  units bias_initializer  dropout_rate  learning_rate  focal_gamma  focal_alpha
direction_14_trials_GRU      082 13.722845      0.506406  0.508848         0.992683               1           32       relu      glorot_normal      0.4                0.4                 1     32            zeros           0.2           0.01          1.0          0.1
direction_14_trials_GRU      120 14.192958      0.506406  0.508379         0.992213               1           32       relu          he_normal      0.4                0.4                 1     32        he_normal           0.1           0.01          1.0          0.1
direction_14_trials_GRU      043 17.628653      0.506406  0.509355         0.988778               1           32       relu      glorot_normal      0.2                0.1                 1     64        he_normal           0.5           0.01          1.0          0.3
direction_14_trials_GRU      078 23.027040      0.506406  0.508145         0.983379               1           32       relu          he_normal      0.4                0.1                 2     32        he_normal           0.5           0.01          1.0          0.1
direction_14_trials_GRU      095 23.088751      0.506406  0.508086         0.983317               1           32       relu          he_normal      0.4                0.1                 1    128            zeros           0.5           0.01          1.0          0.1


Most Common Hyperparameters in Top 5:

  num_GRU_layers: 1 (shared by 5 models)
  units_first: 32 (shared by 5 models)
  activation: relu (shared by 5 models)
  kernel_initializer: he_normal (shared by 3 models)
  dropout: 0.4 (shared by 4 models)
  recurrent_dropout: 0.1 (shared by 3 models)
  num_dense_layers: 1 (shared by 4 models)
  units: 32 (shared by 3 models)
  bias_initializer: he_normal (shared by 3 models)
  dropout_rate: 0.5 (shared by 3 models)
  learning_rate: 0.01 (shared by 5 models)
  focal_gamma: 1.0 (shared by 5 models)
  focal_alpha: 0.1 (shared by 4 models)
