model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_LSTM_layers,units_first,activation,kernel_initializer,forget_bias,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
direction_14_trials_LSTM,000,60.15333557128906,0.5064062476158142,0.5079687237739563,0.9462529120445251,2,32,tanh,glorot_normal,True,0.30000000000000004,0.35000000000000003,1,64,zeros,0.5,0.001715074355925934,3.0,0.1
direction_14_trials_LSTM,001,909.8372802734375,0.4935937523841858,0.4945117235183716,0.07596852922439579,3,32,tanh,glorot_normal,False,0.30000000000000004,0.45,1,64,glorot_normal,0.1,0.00014111965749931114,2.5,0.7000000000000001
direction_14_trials_LSTM,002,156.46746826171875,0.5064062476158142,0.5099413990974426,0.8499387793540955,3,64,relu,glorot_normal,True,0.30000000000000004,0.30000000000000004,2,128,zeros,0.2,0.0010277342442932575,1.0,0.5
direction_14_trials_LSTM,003,44.737056732177734,0.5064062476158142,0.5095898509025574,0.9616691908836364,3,32,gelu,glorot_normal,False,0.2,0.25,1,64,he_normal,0.30000000000000004,0.0033137745378583987,1.5,0.2
direction_14_trials_LSTM,004,415.7143249511719,0.4935937523841858,0.48966798186302185,0.5778794274330139,2,64,relu,he_normal,False,0.45,0.45,2,96,zeros,0.1,0.0003623815491328145,3.0,0.8
direction_14_trials_LSTM,005,788.9326782226562,0.4935937523841858,0.49144530296325684,0.20466107416152957,2,32,relu,he_normal,True,0.25,0.4,2,96,zeros,0.30000000000000004,0.0001272703380605649,3.0,0.9
direction_14_trials_LSTM,006,542.2963256835938,0.5064062476158142,0.5065038800239563,0.46410992193222045,2,32,gelu,he_normal,True,0.25,0.30000000000000004,1,64,he_normal,0.30000000000000004,0.0001395510628578222,1.0,0.1
direction_14_trials_LSTM,007,246.1270294189453,0.4935937523841858,0.4896875023841858,0.7474271454811097,3,96,tanh,he_normal,False,0.45,0.2,2,64,zeros,0.5,0.0025890919266874407,3.0,0.9
direction_14_trials_LSTM,008,1783.5762939453125,0.5064062476158142,0.5091992020606995,-0.8508670172691346,1,96,tanh,he_normal,True,0.30000000000000004,0.2,2,32,glorot_normal,0.1,0.00010805627988186071,1.0,0.30000000000000004
direction_14_trials_LSTM,009,82.0755844116211,0.4935937523841858,0.4913671910762787,0.9115181679725647,3,64,gelu,he_normal,False,0.25,0.4,1,32,he_normal,0.5,0.006353350532750873,1.0,0.6
direction_14_trials_LSTM,010,43.561710357666016,0.4935937523841858,0.4912695288658142,0.9500320420265198,2,32,relu,he_normal,False,0.30000000000000004,0.4,1,32,he_normal,0.2,0.0013291852527485804,3.0,0.6
direction_14_trials_LSTM,011,168.8540496826172,0.4935937523841858,0.49171873927116394,0.8247397027015686,2,96,relu,glorot_normal,False,0.2,0.4,1,64,glorot_normal,0.1,0.001027905840968144,1.5,0.6
direction_14_trials_LSTM,012,1098.97998046875,0.5064062476158142,0.5094140768051147,-0.07447090816497792,2,96,tanh,glorot_normal,True,0.2,0.45,2,64,he_normal,0.4,0.00030969640670569564,2.5,0.30000000000000004
direction_14_trials_LSTM,013,471.1479187011719,0.5063672065734863,0.49855467677116394,0.5333822429180145,1,96,tanh,glorot_normal,True,0.35000000000000003,0.4,2,64,he_normal,0.2,0.0004938970115853091,2.5,0.6
direction_14_trials_LSTM,014,364.6025390625,0.5064062476158142,0.501757800579071,0.6418037085533141,3,32,gelu,he_normal,False,0.45,0.45,1,128,glorot_normal,0.5,0.0003484786063390684,1.5,0.5
direction_14_trials_LSTM,015,209.5164031982422,0.4935937523841858,0.4905664026737213,0.7840773491859436,3,96,tanh,glorot_normal,False,0.25,0.35000000000000003,1,32,glorot_normal,0.2,0.003049541549141375,2.5,0.8
direction_14_trials_LSTM,016,46.660526275634766,0.5064062476158142,0.5096679925918579,0.9597457213401794,3,32,gelu,glorot_normal,True,0.30000000000000004,0.45,1,32,he_normal,0.2,0.006351062743654629,3.0,0.4
direction_14_trials_LSTM,017,54.701698303222656,0.5064062476158142,0.5086718797683716,0.9517451400756836,1,32,gelu,he_normal,False,0.35000000000000003,0.30000000000000004,2,128,he_normal,0.30000000000000004,0.00207431648016279,2.5,0.5
direction_14_trials_LSTM,018,311.45623779296875,0.4935937523841858,0.49144530296325684,0.682137514591217,1,128,relu,he_normal,False,0.30000000000000004,0.35000000000000003,1,128,zeros,0.1,0.00023183657189474222,2.0,0.6
direction_14_trials_LSTM,019,401.6250305175781,0.4939843714237213,0.5010937452316284,0.6395096547603607,1,32,tanh,he_normal,True,0.35000000000000003,0.25,1,32,glorot_normal,0.4,0.00022692088176343598,2.0,0.30000000000000004
direction_14_trials_LSTM,020,317.86871337890625,0.5064062476158142,0.5092968940734863,0.688537534236908,3,96,tanh,he_normal,False,0.45,0.35000000000000003,2,128,he_normal,0.2,0.0012872737477703168,3.0,0.2
direction_14_trials_LSTM,021,41.27952194213867,0.5064062476158142,0.5075585842132568,0.9651267256736755,1,32,relu,glorot_normal,False,0.35000000000000003,0.2,1,64,he_normal,0.30000000000000004,0.0005017603502099382,3.0,0.4
direction_14_trials_LSTM,022,131.78334045410156,0.4935937523841858,0.4914257824420929,0.8618104119300842,3,128,gelu,glorot_normal,False,0.2,0.35000000000000003,1,128,zeros,0.5,0.006695608114388132,2.5,0.8
direction_14_trials_LSTM,023,288.2857971191406,0.5064062476158142,0.5095898509025574,0.7181204504966736,3,96,relu,glorot_normal,True,0.4,0.2,1,32,zeros,0.2,0.0002933768012428558,2.5,0.30000000000000004
direction_14_trials_LSTM,024,46.039188385009766,0.5064062476158142,0.5015624761581421,0.9603670592308045,1,32,gelu,glorot_normal,False,0.35000000000000003,0.35000000000000003,2,96,glorot_normal,0.5,0.0021765065892749877,2.0,0.5
direction_14_trials_LSTM,025,280.80908203125,0.5064062476158142,0.507617175579071,0.7255971655845642,2,64,gelu,glorot_normal,False,0.2,0.45,1,64,glorot_normal,0.5,0.00031570701500918154,1.0,0.1
direction_14_trials_LSTM,026,97.73961639404297,0.4935937523841858,0.49107420444488525,0.8958541359901429,2,96,gelu,he_normal,False,0.25,0.25,2,64,he_normal,0.2,0.00727915929887585,1.5,0.6
direction_14_trials_LSTM,027,79.91885375976562,0.5064062476158142,0.5090038776397705,0.9264873938560486,1,96,tanh,glorot_normal,True,0.30000000000000004,0.2,1,64,glorot_normal,0.2,0.008616178537110575,2.0,0.2
direction_14_trials_LSTM,028,339.82293701171875,0.5064062476158142,0.5087304711341858,0.6665833106040955,2,128,tanh,he_normal,False,0.30000000000000004,0.2,1,64,he_normal,0.2,0.001263698656945194,2.5,0.4
direction_14_trials_LSTM,029,20.632225036621094,0.4935937523841858,0.49064454436302185,0.9729615273475647,1,32,relu,glorot_normal,False,0.25,0.25,2,96,he_normal,0.1,0.00829014608439077,1.5,0.7000000000000001
direction_14_trials_LSTM,030,50.323265075683594,0.4935937523841858,0.4930664002895355,0.9432704873085022,2,32,relu,glorot_normal,True,0.25,0.45,1,32,he_normal,0.5,0.0004706052466815514,1.0,0.9
direction_14_trials_LSTM,031,125.32525634765625,0.4935937523841858,0.49291014671325684,0.8682684960365296,2,96,gelu,he_normal,False,0.4,0.35000000000000003,2,96,zeros,0.1,0.0043367212336025045,1.0,0.9
direction_14_trials_LSTM,032,186.61097717285156,0.5064062476158142,0.5082031488418579,0.8197952704429626,3,64,gelu,he_normal,True,0.4,0.4,1,64,zeros,0.4,0.0019003838058425906,2.0,0.2
direction_14_trials_LSTM,033,197.80999755859375,0.4935937523841858,0.49873048067092896,0.795783754825592,2,32,gelu,glorot_normal,True,0.4,0.4,1,32,zeros,0.2,0.00021347610418606298,3.0,0.8
direction_14_trials_LSTM,034,197.82896423339844,0.4935937523841858,0.4909960925579071,0.7957647881507873,3,96,gelu,glorot_normal,False,0.45,0.25,2,128,he_normal,0.4,0.001996334459987542,3.0,0.9
direction_14_trials_LSTM,035,67.18153381347656,0.5064062476158142,0.5086914300918579,0.9389982757568359,1,64,tanh,glorot_normal,True,0.4,0.25,1,96,glorot_normal,0.30000000000000004,0.0048640356869126,2.5,0.2
direction_14_trials_LSTM,036,238.51318359375,0.5335156321525574,0.5004687309265137,0.7950034618377686,1,32,gelu,he_normal,True,0.35000000000000003,0.2,1,96,zeros,0.4,0.00011202631862509904,3.0,0.1
direction_14_trials_LSTM,037,690.0059204101562,0.5064062476158142,0.5077539086341858,0.3164003272056579,3,96,gelu,he_normal,True,0.45,0.4,1,32,glorot_normal,0.1,0.00020193356985061988,3.0,0.7000000000000001
direction_14_trials_LSTM,038,381.4013977050781,0.4935937523841858,0.49878907203674316,0.6121923546791077,1,64,gelu,glorot_normal,True,0.25,0.35000000000000003,2,32,glorot_normal,0.30000000000000004,0.0001333046266612092,2.5,0.9
direction_14_trials_LSTM,039,1165395.875,0.5064062476158142,0.5091211199760437,-1164.3894687523841,3,32,relu,he_normal,False,0.45,0.2,2,64,zeros,0.5,0.002596905757124934,3.0,0.2
direction_14_trials_LSTM,040,2279.0849609375,0.5278124809265137,0.49757811427116394,-1.2312674922943114,2,32,relu,glorot_normal,True,0.4,0.2,2,64,glorot_normal,0.5,0.0003584911744295724,1.5,0.30000000000000004
direction_14_trials_LSTM,041,83.3831558227539,0.5064062476158142,0.5098632574081421,0.9265298714637756,1,96,tanh,he_normal,False,0.25,0.25,1,32,he_normal,0.2,0.0072136325692250145,3.0,0.1
direction_14_trials_LSTM,042,199.3706512451172,0.5064062476158142,0.500683605670929,0.807035596370697,2,64,tanh,glorot_normal,True,0.30000000000000004,0.35000000000000003,1,64,glorot_normal,0.30000000000000004,0.000859846732529835,2.0,0.5
direction_14_trials_LSTM,043,264.7223815917969,0.4935937523841858,0.49064454436302185,0.7288713707923888,2,96,gelu,he_normal,False,0.25,0.4,1,96,he_normal,0.2,0.0006771365879577381,2.0,0.6
direction_14_trials_LSTM,044,284.6269226074219,0.4935937523841858,0.49259766936302185,0.708966829776764,2,96,gelu,he_normal,False,0.35000000000000003,0.30000000000000004,2,96,glorot_normal,0.30000000000000004,0.0006955715790420235,2.5,0.9
direction_14_trials_LSTM,045,597.8827514648438,0.4935937523841858,0.49607422947883606,0.4090619049072266,1,64,tanh,glorot_normal,False,0.30000000000000004,0.2,1,96,he_normal,0.30000000000000004,0.00026349666515865244,1.0,0.6
direction_14_trials_LSTM,046,77.2703628540039,0.5064062476158142,0.5052929520606995,0.9291358847618103,1,32,gelu,glorot_normal,True,0.25,0.35000000000000003,1,64,he_normal,0.30000000000000004,0.0006261955961632421,3.0,0.2
direction_14_trials_LSTM,047,256.6069030761719,0.5064062476158142,0.5057031512260437,0.7501859998703002,1,32,gelu,glorot_normal,True,0.35000000000000003,0.30000000000000004,1,96,glorot_normal,0.4,0.00011777742847270188,1.5,0.2
direction_14_trials_LSTM,048,261.9595947265625,0.4935937523841858,0.49167969822883606,0.7316341576576233,3,128,gelu,glorot_normal,True,0.4,0.25,1,32,zeros,0.5,0.0020563819004224943,2.5,0.9
direction_14_trials_LSTM,049,586.8831176757812,0.4935937523841858,0.49222657084465027,0.3892531495094299,1,64,relu,glorot_normal,True,0.4,0.2,1,32,he_normal,0.30000000000000004,0.0001,1.5,0.6
direction_14_trials_LSTM,050,132.30239868164062,0.5064062476158142,0.5095312595367432,0.8741038489341736,1,96,gelu,glorot_normal,True,0.30000000000000004,0.45,1,96,zeros,0.4,0.0015924684559698052,3.0,0.30000000000000004
direction_14_trials_LSTM,051,409.6654357910156,0.4935937523841858,0.49296873807907104,0.5703935322761535,2,64,tanh,glorot_normal,True,0.35000000000000003,0.2,2,96,glorot_normal,0.5,0.0004930624024427682,1.0,0.8
direction_14_trials_LSTM,052,159.0990447998047,0.4935937523841858,0.49074217677116394,0.8344947075843812,3,128,gelu,he_normal,False,0.4,0.30000000000000004,2,64,zeros,0.4,0.008288943822402584,3.0,0.9
direction_14_trials_LSTM,053,194.26644897460938,0.5064062476158142,0.5084375143051147,0.8121397986412049,3,96,gelu,glorot_normal,True,0.45,0.35000000000000003,1,128,he_normal,0.1,0.0020075837955493376,1.5,0.30000000000000004
direction_14_trials_LSTM,054,46.24431228637695,0.5064062476158142,0.5088476538658142,0.9601619353294373,1,32,relu,glorot_normal,True,0.30000000000000004,0.25,2,64,he_normal,0.4,0.0006496780478322082,1.0,0.2
direction_14_trials_LSTM,055,95.29059600830078,0.4935937523841858,0.49095702171325684,0.8984178357124328,1,64,tanh,glorot_normal,False,0.4,0.35000000000000003,1,128,he_normal,0.1,0.0019122545514591196,3.0,0.9
direction_14_trials_LSTM,056,49.4013671875,0.5064062476158142,0.5105859637260437,0.9570048804283142,2,32,gelu,glorot_normal,True,0.30000000000000004,0.45,1,32,zeros,0.5,0.0029588549171523514,2.0,0.1
direction_14_trials_LSTM,057,2689.95849609375,0.4935937523841858,0.49662110209465027,-1.669316096305847,2,128,tanh,glorot_normal,True,0.35000000000000003,0.2,1,96,zeros,0.1,0.00016163484633393047,2.5,0.9
direction_14_trials_LSTM,058,1144.3907470703125,0.5064062476158142,0.509082019329071,-0.1379844994544983,1,64,relu,glorot_normal,True,0.30000000000000004,0.30000000000000004,1,32,zeros,0.30000000000000004,0.0001,3.0,0.1
direction_14_trials_LSTM,059,764.4274291992188,0.5064062476158142,0.49958983063697815,0.23821964287757869,1,32,relu,glorot_normal,True,0.45,0.4,2,96,glorot_normal,0.5,0.0001,1.0,0.5
