Top 5 Trials for direction_14_trials_LSTM by Validation Loss:

              model_type trial_id  val_loss  val_accuracy  accuracy  composite_score  num_LSTM_layers  units_first activation kernel_initializer  forget_bias  dropout  recurrent_dropout  num_dense_layers  units bias_initializer  dropout_rate  learning_rate  focal_gamma  focal_alpha
direction_14_trials_LSTM      076 24.459478      0.506406  0.508711         0.981947                1           32       gelu      glorot_normal        False     0.30               0.35                 1     32        he_normal           0.1       0.005128          1.5          0.4
direction_14_trials_LSTM      029 20.632225      0.493594  0.490645         0.972962                1           32       relu      glorot_normal        False     0.25               0.25                 2     96        he_normal           0.1       0.008290          1.5          0.7
direction_14_trials_LSTM      065 35.803745      0.506406  0.508633         0.970603                1           32       relu      glorot_normal         True     0.25               0.45                 1     96    glorot_normal           0.5       0.001144          2.5          0.1
direction_14_trials_LSTM      021 41.279522      0.506406  0.507559         0.965127                1           32       relu      glorot_normal        False     0.35               0.20                 1     64        he_normal           0.3       0.000502          3.0          0.4
direction_14_trials_LSTM      003 44.737057      0.506406  0.509590         0.961669                3           32       gelu      glorot_normal        False     0.20               0.25                 1     64        he_normal           0.3       0.003314          1.5          0.2


Most Common Hyperparameters in Top 5:

  num_LSTM_layers: 1 (shared by 4 models)
  units_first: 32 (shared by 5 models)
  activation: relu (shared by 3 models)
  kernel_initializer: glorot_normal (shared by 5 models)
  forget_bias: False (shared by 4 models)
  dropout: 0.25 (shared by 2 models)
  recurrent_dropout: 0.25 (shared by 2 models)
  num_dense_layers: 1 (shared by 4 models)
  units: 96 (shared by 2 models)
  bias_initializer: he_normal (shared by 4 models)
  dropout_rate: 0.1 (shared by 2 models)
  focal_gamma: 1.5 (shared by 3 models)
  focal_alpha: 0.4 (shared by 2 models)
