Top 5 Trials for direction_1_trials_GRU by Validation Loss:

            model_type trial_id  val_loss  val_accuracy  accuracy  composite_score  num_GRU_layers  units_first activation kernel_initializer  dropout  recurrent_dropout  num_dense_layers  units bias_initializer  dropout_rate  learning_rate  focal_gamma  focal_alpha
direction_1_trials_GRU      070 13.444353      0.543516  0.540488         1.030071               1           32       relu      glorot_normal     0.40               0.25                 1     32            zeros           0.5       0.010000          1.0          0.1
direction_1_trials_GRU      128 15.803763      0.543516  0.540430         1.027712               1           32       relu      glorot_normal     0.40               0.40                 1    128            zeros           0.1       0.010000          3.0          0.1
direction_1_trials_GRU      109 16.308922      0.543516  0.539727         1.027207               1           32       relu      glorot_normal     0.40               0.10                 1     32        he_normal           0.1       0.010000          3.0          0.1
direction_1_trials_GRU      045 19.534740      0.543516  0.539688         1.023981               1           32       relu          he_normal     0.15               0.10                 1     64        he_normal           0.5       0.009606          1.0          0.1
direction_1_trials_GRU      041 24.574558      0.543516  0.540215         1.018941               1           32       relu          he_normal     0.25               0.35                 2     64    glorot_normal           0.3       0.007186          3.0          0.1


Most Common Hyperparameters in Top 5:

  num_GRU_layers: 1 (shared by 5 models)
  units_first: 32 (shared by 5 models)
  activation: relu (shared by 5 models)
  kernel_initializer: glorot_normal (shared by 3 models)
  dropout: 0.4 (shared by 3 models)
  recurrent_dropout: 0.1 (shared by 2 models)
  num_dense_layers: 1 (shared by 4 models)
  units: 32 (shared by 2 models)
  bias_initializer: zeros (shared by 2 models)
  dropout_rate: 0.5 (shared by 2 models)
  learning_rate: 0.01 (shared by 3 models)
  focal_gamma: 3.0 (shared by 3 models)
  focal_alpha: 0.1 (shared by 5 models)
