Top 5 Trials for direction_1_trials_LSTM by Validation Loss:

             model_type trial_id  val_loss  val_accuracy  accuracy  composite_score  num_LSTM_layers  units_first activation kernel_initializer  forget_bias  dropout  recurrent_dropout  num_dense_layers  units bias_initializer  dropout_rate  learning_rate  focal_gamma  focal_alpha
direction_1_trials_LSTM      016 33.522167      0.543516  0.541855         1.009993                3           32       gelu      glorot_normal         True     0.30               0.45                 1     32        he_normal           0.2       0.006351          3.0          0.4
direction_1_trials_LSTM      138 45.888268      0.543516  0.540332         0.997627                2           32       relu          he_normal         True     0.35               0.45                 1     64    glorot_normal           0.3       0.001061          2.5          0.2
direction_1_trials_LSTM      003 46.083927      0.543516  0.539961         0.997432                3           32       gelu      glorot_normal        False     0.20               0.25                 1     64        he_normal           0.3       0.003314          1.5          0.2
direction_1_trials_LSTM      024 47.263771      0.543516  0.539414         0.996252                1           32       gelu      glorot_normal        False     0.35               0.35                 2     96    glorot_normal           0.5       0.002177          2.0          0.5
direction_1_trials_LSTM      086 50.738907      0.543516  0.540469         0.992777                3           32       relu      glorot_normal         True     0.30               0.35                 1     96    glorot_normal           0.4       0.006446          1.0          0.3


Most Common Hyperparameters in Top 5:

  num_LSTM_layers: 3 (shared by 3 models)
  units_first: 32 (shared by 5 models)
  activation: gelu (shared by 3 models)
  kernel_initializer: glorot_normal (shared by 4 models)
  forget_bias: True (shared by 3 models)
  dropout: 0.30000000000000004 (shared by 2 models)
  recurrent_dropout: 0.45 (shared by 2 models)
  num_dense_layers: 1 (shared by 4 models)
  units: 64 (shared by 2 models)
  bias_initializer: glorot_normal (shared by 3 models)
  dropout_rate: 0.30000000000000004 (shared by 2 models)
  focal_alpha: 0.2 (shared by 2 models)
