model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv_layers,filters,kernel_size,padding,activation,kernel_initializer,pool_size,strides,num_lstm_layers,units_first,forget_bias,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
buy_trials_Conv1D_LSTM,01,117.69711303710938,0.005156250204890966,0.28382813930511475,0.3874591371677816,3,64,5,same,relu,glorot_normal,3,2,3,64,False,0.25,0.45,1,64,he_normal,0.5,0.00019528654576328537,1.5,0.5
buy_trials_Conv1D_LSTM,02,82.43266296386719,0.19164063036441803,0.4967578053474426,0.5716563855409622,1,64,7,same,gelu,glorot_normal,2,1,1,32,False,0.45,0.35000000000000003,2,64,zeros,0.2,0.0006426228293037218,1.0,0.6
buy_trials_Conv1D_LSTM,03,163.7135772705078,0.9948437213897705,0.9950781464576721,1.3311301441192627,1,128,7,valid,gelu,glorot_normal,2,1,3,128,False,0.2,0.25,2,128,zeros,0.4,0.0071223894490449685,2.0,0.1
buy_trials_Conv1D_LSTM,04,1324.2353515625,0.49265626072883606,0.5291406512260437,-0.3385574834346772,2,32,7,valid,gelu,glorot_normal,3,2,2,64,False,0.30000000000000004,0.30000000000000004,2,96,zeros,0.1,0.000100697884207127,2.5,0.5
buy_trials_Conv1D_LSTM,06,252.6201629638672,0.9948437213897705,0.9946484565734863,1.2422235584259034,1,96,3,same,relu,glorot_normal,3,1,3,128,False,0.25,0.4,1,32,he_normal,0.5,0.006353350532750873,1.0,0.6
buy_trials_Conv1D_LSTM,08,104.6871566772461,0.9948437213897705,0.9948046803474426,1.3901565647125245,3,32,5,same,relu,he_normal,2,2,2,96,False,0.2,0.35000000000000003,1,128,he_normal,0.2,0.002491419010534623,2.5,0.30000000000000004
buy_trials_Conv1D_LSTM,09,292.4269714355469,0.9948437213897705,0.7798827886581421,1.2024167499542235,3,64,3,valid,relu,glorot_normal,3,2,3,128,False,0.4,0.30000000000000004,1,96,glorot_normal,0.4,0.00017275684705076117,3.0,0.7000000000000001
buy_trials_Conv1D_LSTM,10,23228964864.0,0.16453124582767487,0.5174219012260437,-23228964.282066785,2,128,7,same,gelu,glorot_normal,3,1,2,64,True,0.35000000000000003,0.30000000000000004,1,64,zeros,0.4,0.00011998472287810798,1.5,0.4
buy_trials_Conv1D_LSTM,11,5172.09130859375,0.005156250204890966,0.31171876192092896,-4.66720992520824,1,96,5,valid,gelu,glorot_normal,3,1,3,64,True,0.25,0.2,2,64,he_normal,0.5,0.0006620419808746878,1.5,0.1
buy_trials_Conv1D_LSTM,12,141.3860626220703,0.9948437213897705,0.9939062595367432,1.3534576587677,3,96,3,valid,relu,he_normal,3,2,2,96,True,0.30000000000000004,0.25,2,32,glorot_normal,0.2,0.0005347601471523541,2.0,0.4
buy_trials_Conv1D_LSTM,14,306.718505859375,0.9948437213897705,0.9944921731948853,1.1881252155303956,3,96,5,valid,relu,he_normal,3,2,3,128,False,0.35000000000000003,0.45,1,32,zeros,0.1,0.0001916346897390569,1.5,0.6
buy_trials_Conv1D_LSTM,16,46.143978118896484,0.9948437213897705,0.9914844036102295,1.448699743270874,3,128,7,valid,relu,glorot_normal,3,2,1,64,False,0.2,0.25,1,96,zeros,0.1,0.0001154562309653233,3.0,0.5
buy_trials_Conv1D_LSTM,17,3735.40380859375,0.5850781202316284,0.6420702934265137,-2.7384231712818146,1,96,5,valid,gelu,glorot_normal,3,2,2,64,True,0.30000000000000004,0.45,1,32,zeros,0.5,0.00011761309742767026,1.5,0.5
buy_trials_Conv1D_LSTM,18,25.444684982299805,0.9948437213897705,0.9945312738418579,1.4693205072879791,3,32,3,same,relu,he_normal,3,2,1,32,False,0.4,0.30000000000000004,2,64,he_normal,0.2,0.001772507252479043,1.0,0.6
buy_trials_Conv1D_LSTM,19,105.00110626220703,0.0053125000558793545,0.32515624165534973,0.4014500809274614,2,64,5,same,relu,glorot_normal,2,2,1,128,True,0.25,0.30000000000000004,2,64,glorot_normal,0.2,0.000642144054857491,1.0,0.2
buy_trials_Conv1D_LSTM,20,26.249706268310547,0.9948437213897705,0.9950390458106995,1.468633294582367,2,128,3,valid,gelu,glorot_normal,2,1,1,32,False,0.25,0.25,2,96,he_normal,0.1,0.00829014608439077,1.5,0.7000000000000001
buy_trials_Conv1D_LSTM,22,4543.61767578125,0.8796093463897705,0.3484765589237213,-3.175497512102127,2,96,5,same,relu,he_normal,2,2,3,64,True,0.45,0.35000000000000003,2,96,zeros,0.30000000000000004,0.0001688225189917974,2.5,0.6
buy_trials_Conv1D_LSTM,23,62.963497161865234,0.9948437213897705,0.9937890768051147,1.4318802242279052,2,32,5,same,gelu,glorot_normal,3,2,3,32,False,0.2,0.30000000000000004,1,128,he_normal,0.5,0.0016102851161552349,3.0,0.1
buy_trials_Conv1D_LSTM,24,285630.71875,0.7320312261581421,0.5145312547683716,-284.33953438425067,1,128,3,valid,gelu,he_normal,3,2,3,128,False,0.30000000000000004,0.30000000000000004,1,96,he_normal,0.2,0.0003918641276645972,2.5,0.4
buy_trials_Conv1D_LSTM,25,345.6404724121094,0.9948437213897705,0.9947265386581421,1.1492032489776611,2,128,5,same,relu,glorot_normal,3,2,3,96,False,0.30000000000000004,0.35000000000000003,1,96,zeros,0.5,0.0001074112012223909,2.5,0.6
buy_trials_Conv1D_LSTM,26,41.52591323852539,0.9872656464576721,0.5173437595367432,1.4144312908649446,3,96,7,valid,gelu,glorot_normal,2,2,1,32,True,0.4,0.25,1,128,glorot_normal,0.4,0.00042865485672462857,2.0,0.7000000000000001
buy_trials_Conv1D_LSTM,28,5496.07421875,0.9492968916893005,0.38136717677116394,-4.060257722139358,2,32,3,same,gelu,he_normal,2,2,2,96,True,0.25,0.25,1,32,he_normal,0.30000000000000004,0.0010413788678113095,1.5,0.30000000000000004
buy_trials_Conv1D_LSTM,30,252.61007690429688,0.9934375286102295,0.8010937571525574,1.3146896467208862,2,96,5,same,gelu,he_normal,3,1,1,32,False,0.4,0.35000000000000003,2,96,glorot_normal,0.1,0.0028168240891253142,1.0,0.9
buy_trials_Conv1D_LSTM,31,1895184512.0,0.9946874976158142,0.8626171946525574,-1895183.0171947237,2,128,7,valid,relu,glorot_normal,2,1,2,128,False,0.35000000000000003,0.30000000000000004,1,32,glorot_normal,0.1,0.006756163745376442,2.5,0.4
buy_trials_Conv1D_LSTM,32,226.29359436035156,0.019453125074505806,0.33402344584465027,0.3779182892590761,2,64,5,same,gelu,glorot_normal,3,2,1,96,True,0.30000000000000004,0.4,1,32,zeros,0.5,0.0005420766784463195,1.0,0.7000000000000001
buy_trials_Conv1D_LSTM,33,160.53419494628906,0.9948437213897705,0.6680859327316284,1.3343095264434814,3,32,7,valid,gelu,glorot_normal,2,2,2,96,False,0.30000000000000004,0.4,2,32,zeros,0.2,0.0003570998050601327,2.5,0.2
buy_trials_Conv1D_LSTM,34,4468.2138671875,0.23984375596046448,0.38425782322883606,-3.743064712524414,2,96,7,same,relu,he_normal,3,2,1,96,True,0.30000000000000004,0.4,1,64,zeros,0.5,0.0002452623218992339,2.0,0.2
buy_trials_Conv1D_LSTM,35,338.7689208984375,0.9948437213897705,0.8461328148841858,1.1441567027568817,2,96,3,same,relu,glorot_normal,2,2,1,128,True,0.4,0.25,2,64,glorot_normal,0.2,0.00013125030310243128,1.0,0.30000000000000004
buy_trials_Conv1D_LSTM,37,92.61959075927734,0.9948437213897705,0.9947265386581421,1.4022241306304932,3,96,5,valid,gelu,glorot_normal,3,1,2,96,True,0.4,0.25,1,96,he_normal,0.30000000000000004,0.005594661103196281,2.5,0.1
buy_trials_Conv1D_LSTM,39,35.99412536621094,0.9948437213897705,0.9937890768051147,1.4630485644340516,3,64,5,same,gelu,glorot_normal,2,1,1,32,True,0.35000000000000003,0.25,2,64,glorot_normal,0.30000000000000004,0.0017259745092203106,1.5,0.6
buy_trials_Conv1D_LSTM,41,80109464.0,0.8035937547683716,0.6791796684265137,-80108.1760461762,2,96,3,same,gelu,he_normal,2,1,1,64,True,0.2,0.35000000000000003,2,96,zeros,0.5,0.00014304873855982043,3.0,0.7000000000000001
buy_trials_Conv1D_LSTM,42,49.78384780883789,0.9948437213897705,0.9946874976158142,1.4450598735809326,3,96,7,same,relu,glorot_normal,2,2,1,128,False,0.35000000000000003,0.30000000000000004,2,32,zeros,0.30000000000000004,0.004179706358511756,3.0,0.4
buy_trials_Conv1D_LSTM,43,105375105024.0,0.62109375,0.5896875262260437,-105375103.9086556,3,32,7,valid,relu,he_normal,3,1,2,64,True,0.2,0.2,1,96,he_normal,0.5,0.002262219170980031,2.5,0.9
buy_trials_Conv1D_LSTM,45,178.36264038085938,0.9948437213897705,0.9497265815734863,1.289798793554306,3,96,3,same,relu,glorot_normal,3,1,1,128,False,0.2,0.25,2,96,glorot_normal,0.2,0.0008905259819768822,1.5,0.6
buy_trials_Conv1D_LSTM,46,1918853.25,0.6213281154632568,0.4953906238079071,-1917.7277740569114,1,128,7,same,relu,he_normal,3,1,3,64,True,0.2,0.45,1,128,glorot_normal,0.5,0.0008635595838211174,2.0,0.9
buy_trials_Conv1D_LSTM,47,20905.8359375,0.9700000286102295,0.7974609136581421,-19.42705542945862,2,96,7,same,relu,he_normal,3,2,3,32,True,0.2,0.45,1,128,glorot_normal,0.1,0.0036533709397454893,2.5,0.8
buy_trials_Conv1D_LSTM,48,2.0234875126677504e+16,0.9451562762260437,0.7103515863418579,-20234875126676.04,2,64,5,same,relu,he_normal,3,1,3,64,False,0.45,0.35000000000000003,1,64,glorot_normal,0.2,0.00011709124137255059,1.0,0.5
buy_trials_Conv1D_LSTM,49,5832.703125,0.9948437213897705,0.903124988079071,-4.33785940361023,1,64,7,same,relu,glorot_normal,2,2,3,96,False,0.45,0.4,2,64,zeros,0.1,0.002248334710665683,1.5,0.4
