Top 5 Trials for buy_trials_GRU by Validation Loss:

    model_type trial_id  val_loss  val_accuracy  accuracy  composite_score  num_GRU_layers  units_first activation kernel_initializer  dropout  recurrent_dropout  num_dense_layers  units bias_initializer  dropout_rate  learning_rate  focal_gamma  focal_alpha
buy_trials_GRU       46 26.234352      0.994844  0.994570         1.468609               1           32       relu      glorot_normal     0.20               0.35                 1     96        he_normal           0.2       0.003538          1.0          0.1
buy_trials_GRU       39 32.212311      0.994844  0.994648         1.462631               1           32       relu          he_normal     0.10               0.20                 1    128    glorot_normal           0.1       0.008352          2.0          0.7
buy_trials_GRU       23 37.342743      0.994844  0.994844         1.457501               2           32       relu      glorot_normal     0.35               0.25                 1    128    glorot_normal           0.5       0.005199          3.0          0.1
buy_trials_GRU       43 39.129673      0.994844  0.994648         1.455714               2           32       relu          he_normal     0.20               0.25                 2     32    glorot_normal           0.3       0.010000          3.0          0.1
buy_trials_GRU       42 63.959702      0.994844  0.994805         1.430884               1           64       relu      glorot_normal     0.25               0.10                 1    128        he_normal           0.4       0.004072          1.0          0.9


Most Common Hyperparameters in Top 5:

  num_GRU_layers: 1 (shared by 3 models)
  units_first: 32 (shared by 4 models)
  activation: relu (shared by 5 models)
  kernel_initializer: glorot_normal (shared by 3 models)
  dropout: 0.2 (shared by 2 models)
  recurrent_dropout: 0.25 (shared by 2 models)
  num_dense_layers: 1 (shared by 4 models)
  units: 128 (shared by 3 models)
  bias_initializer: glorot_normal (shared by 3 models)
  focal_gamma: 1.0 (shared by 2 models)
  focal_alpha: 0.1 (shared by 3 models)
