Top 5 Trials for buy_trials_LSTM by Validation Loss:

     model_type trial_id   val_loss  val_accuracy  accuracy  composite_score  num_LSTM_layers  units_first activation kernel_initializer  forget_bias  dropout  recurrent_dropout  num_dense_layers  units bias_initializer  dropout_rate  learning_rate  focal_gamma  focal_alpha
buy_trials_LSTM       29  30.727449      0.994844  0.994648         1.464116                1           32       relu      glorot_normal        False     0.25               0.25                 2     96        he_normal           0.1       0.008290          1.5          0.7
buy_trials_LSTM       48  36.719685      0.994844  0.994805         1.458124                1           32       gelu      glorot_normal        False     0.35               0.20                 1     32    glorot_normal           0.5       0.010000          2.0          0.1
buy_trials_LSTM       47  50.678524      0.994844  0.994414         1.444165                2           32       gelu      glorot_normal        False     0.20               0.25                 1     64    glorot_normal           0.4       0.010000          3.0          0.9
buy_trials_LSTM       49  70.131081      0.994844  0.994531         1.424713                3           32       gelu      glorot_normal        False     0.30               0.45                 2     64        he_normal           0.2       0.010000          2.5          0.9
buy_trials_LSTM       03 170.728256      0.994844  0.994648         1.324115                3           32       gelu      glorot_normal        False     0.20               0.25                 1     64        he_normal           0.3       0.003314          1.5          0.2


Most Common Hyperparameters in Top 5:

  num_LSTM_layers: 1 (shared by 2 models)
  units_first: 32 (shared by 5 models)
  activation: gelu (shared by 4 models)
  kernel_initializer: glorot_normal (shared by 5 models)
  forget_bias: False (shared by 5 models)
  dropout: 0.2 (shared by 2 models)
  recurrent_dropout: 0.25 (shared by 3 models)
  num_dense_layers: 1 (shared by 3 models)
  units: 64 (shared by 3 models)
  bias_initializer: he_normal (shared by 3 models)
  learning_rate: 0.01 (shared by 3 models)
  focal_gamma: 1.5 (shared by 2 models)
  focal_alpha: 0.9 (shared by 2 models)
