Top 5 Trials for buy_trials_Conv1D_LSTM by Validation Loss:

            model_type trial_id  val_loss  val_accuracy  accuracy  composite_score  num_conv_layers  filters  kernel_size padding activation kernel_initializer  pool_size  strides  num_lstm_layers  units_first  forget_bias  dropout  recurrent_dropout  num_dense_layers  units bias_initializer  dropout_rate  learning_rate  focal_gamma  focal_alpha
buy_trials_Conv1D_LSTM      020 15.107444      0.995039  0.994980         1.479932                2      128            3   valid       gelu      glorot_normal          2        1                1           32        False     0.25               0.25                 2     96        he_normal           0.1       0.008290          1.5          0.7
buy_trials_Conv1D_LSTM      018 20.100821      0.995039  0.995254         1.474938                3       32            3    same       relu          he_normal          3        2                1           32        False     0.40               0.30                 2     64        he_normal           0.2       0.001773          1.0          0.6
buy_trials_Conv1D_LSTM      021 28.056137      0.995039  0.994961         1.466983                2       32            3    same       gelu      glorot_normal          3        1                1          128         True     0.30               0.20                 2     64    glorot_normal           0.5       0.006838          1.5          0.7
buy_trials_Conv1D_LSTM      023 39.657665      0.995039  0.995078         1.455381                2       32            5    same       gelu      glorot_normal          3        2                3           32        False     0.20               0.30                 1    128        he_normal           0.5       0.001610          3.0          0.1
buy_trials_Conv1D_LSTM      016 44.649769      0.995039  0.994902         1.450389                3      128            7   valid       relu      glorot_normal          3        2                1           64        False     0.20               0.25                 1     96            zeros           0.1       0.000115          3.0          0.5


Most Common Hyperparameters in Top 5:

  num_conv_layers: 2 (shared by 3 models)
  filters: 32 (shared by 3 models)
  kernel_size: 3 (shared by 3 models)
  padding: same (shared by 3 models)
  activation: gelu (shared by 3 models)
  kernel_initializer: glorot_normal (shared by 4 models)
  pool_size: 3 (shared by 4 models)
  strides: 2 (shared by 3 models)
  num_lstm_layers: 1 (shared by 4 models)
  units_first: 32 (shared by 3 models)
  forget_bias: False (shared by 4 models)
  dropout: 0.2 (shared by 2 models)
  recurrent_dropout: 0.25 (shared by 2 models)
  num_dense_layers: 2 (shared by 3 models)
  units: 96 (shared by 2 models)
  bias_initializer: he_normal (shared by 3 models)
  dropout_rate: 0.1 (shared by 2 models)
  focal_gamma: 1.5 (shared by 2 models)
  focal_alpha: 0.7000000000000001 (shared by 2 models)
