model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv1d_layers,filters,kernel_size,padding,activation,kernel_initializer,add_pooling_0,pool_size,strides,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha,add_pooling_1,add_pooling_2
buy_trials_Conv1D,000,50.850982666015625,0.7652343511581421,0.6801562309265137,1.2293055701255797,2,32,5,same,gelu,glorot_normal,True,2,1,1,128,glorot_normal,0.5,0.00015159319577885927,3.0,0.1,True,
buy_trials_Conv1D,001,29.31005859375,0.9922265410423279,0.94580078125,1.4818394074440002,2,32,3,same,gelu,glorot_normal,False,2,1,1,96,he_normal,0.5,0.00044412650444693207,1.0,0.30000000000000004,True,
buy_trials_Conv1D,002,15.25903606414795,0.9950390458106995,0.9949804544448853,1.4711563799381255,2,64,7,valid,relu,glorot_normal,True,2,1,2,32,he_normal,0.1,0.0006237028864858578,1.0,0.2,False,
buy_trials_Conv1D,003,3.5690135955810547,0.9950390458106995,0.9949023723602295,1.4914700322151184,2,128,5,valid,relu,glorot_normal,False,2,1,2,32,he_normal,0.5,0.005704251931830293,2.5,0.30000000000000004,False,
buy_trials_Conv1D,004,61.14496612548828,0.9950390458106995,0.9951562285423279,1.433894079685211,1,128,7,same,relu,glorot_normal,True,3,1,2,128,glorot_normal,0.1,0.001047217795168058,1.0,0.9,True,
buy_trials_Conv1D,005,65.40306854248047,0.9799609184265137,0.9575781226158142,1.409747278213501,2,32,7,valid,gelu,glorot_normal,False,2,1,2,96,zeros,0.1,0.000100697884207127,2.5,0.5,True,
buy_trials_Conv1D,006,42.799251556396484,0.9950390458106995,0.9948632717132568,1.4553974099159241,3,64,7,same,gelu,glorot_normal,False,3,2,2,128,zeros,0.30000000000000004,0.0009452767099282696,2.5,0.7000000000000001,False,True
buy_trials_Conv1D,007,52.43821716308594,0.9948437213897705,0.9948632717132568,1.4393532993793487,1,96,3,valid,relu,glorot_normal,False,2,2,1,128,he_normal,0.2,0.00044489082371598814,3.0,0.4,False,True
buy_trials_Conv1D,008,16.0738468170166,0.9950390458106995,0.9950000047683716,1.478965198993683,3,128,3,valid,relu,glorot_normal,False,3,1,1,128,glorot_normal,0.1,0.003298757461307946,1.5,0.6,True,True
buy_trials_Conv1D,009,6.732121467590332,0.9950390458106995,0.9948437213897705,1.4884247031211852,2,96,3,same,relu,glorot_normal,True,2,1,1,32,glorot_normal,0.2,0.001300398010371077,1.5,0.6,False,False
