model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_GRU_layers,units_first,activation,kernel_initializer,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
buy_trials_GRU,000,1467.9610595703125,0.9950390458106995,0.9947460889816284,0.010157181262969939,2,32,gelu,glorot_normal,0.4,0.2,2,32,glorot_normal,0.2,0.00905127409782462,2.5,0.9
buy_trials_GRU,001,179.5989227294922,0.9950390458106995,0.9949414134025574,1.3154401230812072,1,128,relu,he_normal,0.15000000000000002,0.2,1,128,glorot_normal,0.30000000000000004,0.0006752863927347823,1.0,0.1
buy_trials_GRU,002,5446.759765625,0.9950390458106995,0.9950195550918579,-3.9567318909168243,3,96,tanh,glorot_normal,0.1,0.15000000000000002,2,64,glorot_normal,0.4,0.004255555813913329,1.0,0.30000000000000004
buy_trials_GRU,003,3646.8603515625,0.004960937425494194,0.30833983421325684,-3.112872965410352,2,32,gelu,he_normal,0.15000000000000002,0.35,1,64,zeros,0.2,0.00014690651027379393,2.0,0.9
buy_trials_GRU,004,3409.3447265625,0.9950390458106995,0.994824230670929,-1.8866586623191832,2,128,gelu,glorot_normal,0.2,0.2,1,96,zeros,0.5,0.008316141310476274,3.0,0.7000000000000001
buy_trials_GRU,005,49.07193374633789,0.7157812714576721,0.44517576694488525,1.1667093377113342,1,32,relu,he_normal,0.35,0.25,1,32,he_normal,0.5,0.0003021384939866327,2.5,0.9
buy_trials_GRU,006,2298.894775390625,0.9950390458106995,0.9947656393051147,-0.8006587152481077,2,32,gelu,glorot_normal,0.4,0.4,2,32,he_normal,0.30000000000000004,0.0010953574938066576,1.5,0.4
buy_trials_GRU,007,2414.547607421875,0.9950390458106995,0.9951562285423279,-0.9143395872116087,2,64,tanh,he_normal,0.1,0.15000000000000002,1,128,glorot_normal,0.30000000000000004,0.0064974404904634625,2.0,0.8
buy_trials_GRU,008,1535.2333984375,0.9950390458106995,0.9948632717132568,-0.07289208984374995,1,96,gelu,glorot_normal,0.35,0.30000000000000004,2,128,zeros,0.30000000000000004,0.0009452767099282696,2.5,0.7000000000000001
buy_trials_GRU,009,3819.947509765625,0.004960937425494194,0.06603515893220901,-3.328070715740323,2,32,gelu,glorot_normal,0.25,0.1,1,32,zeros,0.4,0.0003243806953412315,2.5,0.8
buy_trials_GRU,010,5127.75830078125,0.9950390458106995,0.8952343463897705,-3.6456809406280515,2,64,tanh,glorot_normal,0.1,0.4,2,128,zeros,0.30000000000000004,0.0008019212661756024,1.0,0.30000000000000004
buy_trials_GRU,011,3939.124755859375,0.9950390458106995,0.9949414134025574,-2.450081400871277,3,64,gelu,he_normal,0.25,0.1,2,64,glorot_normal,0.5,0.0015525209418522444,2.5,0.5
buy_trials_GRU,012,61.5550537109375,0.9950390458106995,0.9949414134025574,1.433483992099762,1,64,relu,glorot_normal,0.35,0.1,1,64,zeros,0.30000000000000004,0.00036151371126048177,2.0,0.4
buy_trials_GRU,013,546.29931640625,0.9950390458106995,0.5824999809265137,0.9487397294044495,2,64,relu,he_normal,0.1,0.4,2,64,he_normal,0.4,0.00030969640670569564,2.5,0.30000000000000004
buy_trials_GRU,014,2188.315673828125,0.9950390458106995,0.9729297161102295,-0.6842480740547181,1,96,gelu,glorot_normal,0.4,0.25,2,128,zeros,0.4,0.0004827322539144281,1.5,0.7000000000000001
buy_trials_GRU,015,512.7639770507812,0.9950390458106995,0.9950781464576721,0.9822750687599182,2,128,relu,he_normal,0.30000000000000004,0.2,2,128,zeros,0.5,0.0008251039755551379,3.0,0.30000000000000004
buy_trials_GRU,016,11112.0126953125,0.49074217677116394,0.48814451694488525,-10.155533592939376,2,64,tanh,he_normal,0.2,0.1,1,64,glorot_normal,0.1,0.00026384087338560336,2.0,0.30000000000000004
buy_trials_GRU,017,22045.453125,0.7564843893051147,0.5333398580551147,-20.764026158809664,3,96,tanh,he_normal,0.15000000000000002,0.35,1,128,glorot_normal,0.5,0.0002421696251742364,1.0,0.7000000000000001
buy_trials_GRU,018,5872.29541015625,0.9950390458106995,0.9348046779632568,-4.35257956457138,2,128,tanh,glorot_normal,0.2,0.1,2,96,zeros,0.30000000000000004,0.0009629861008872285,2.0,0.9
buy_trials_GRU,019,7472.15185546875,0.9950390458106995,0.8555859327316284,-5.977112809658051,3,96,gelu,he_normal,0.25,0.15000000000000002,2,32,glorot_normal,0.2,0.0005347601471523541,2.0,0.4
buy_trials_GRU,020,46.416725158691406,0.9950390458106995,0.9940429925918579,1.4486223206520081,3,32,relu,glorot_normal,0.25,0.30000000000000004,1,32,glorot_normal,0.5,0.001998823411028348,2.0,0.2
buy_trials_GRU,021,2127.388671875,0.9950390458106995,0.9948632717132568,-0.6284052290916442,2,32,gelu,he_normal,0.15000000000000002,0.25,1,128,he_normal,0.30000000000000004,0.0012633033032926032,1.0,0.8
buy_trials_GRU,022,21044.8203125,0.9950390458106995,0.9109960794448853,-19.584568265914918,2,128,tanh,he_normal,0.15000000000000002,0.25,2,32,zeros,0.2,0.00016560330324823594,1.0,0.4
buy_trials_GRU,023,31.573686599731445,0.9950390458106995,0.994921863079071,1.463465359210968,2,32,relu,glorot_normal,0.35,0.25,1,128,glorot_normal,0.5,0.005198673201549641,3.0,0.1
buy_trials_GRU,024,342.0859069824219,0.9950390458106995,0.9950390458106995,1.1371331124305726,1,32,gelu,glorot_normal,0.35,0.1,2,128,he_normal,0.4,0.0036990629351355588,2.5,0.1
buy_trials_GRU,025,9089.53515625,0.6506249904632568,0.5660937428474426,-7.953862825393676,1,128,tanh,glorot_normal,0.2,0.1,1,64,zeros,0.4,0.00030290765989813667,1.0,0.1
buy_trials_GRU,026,1063.926513671875,0.9950390458106995,0.9951562285423279,0.4311125321388245,3,64,relu,he_normal,0.30000000000000004,0.4,2,64,he_normal,0.4,0.0013638404825740366,2.0,0.6
buy_trials_GRU,027,8953.2490234375,0.9950390458106995,0.8552148342132568,-7.4161141376495365,2,128,gelu,glorot_normal,0.1,0.4,1,64,glorot_normal,0.5,0.00031570701500918154,1.0,0.1
buy_trials_GRU,028,11528.013671875,0.8424609303474426,0.6155859231948853,-10.162611867427826,2,96,tanh,he_normal,0.15000000000000002,0.15000000000000002,1,128,glorot_normal,0.4,0.00032149734827404113,3.0,0.30000000000000004
