Top 5 Trials for buy_trials_GRU by Validation Loss:

    model_type trial_id  val_loss  val_accuracy  accuracy  composite_score  num_GRU_layers  units_first activation kernel_initializer  dropout  recurrent_dropout  num_dense_layers  units bias_initializer  dropout_rate  learning_rate  focal_gamma  focal_alpha
buy_trials_GRU      105 12.740452      0.995039  0.994922         1.482299               1           32       relu      glorot_normal      0.4                0.1                 1     32        he_normal           0.5       0.010000          3.0          0.1
buy_trials_GRU      142 12.789258      0.995039  0.995078         1.482250               1           32       relu      glorot_normal      0.4                0.4                 1     32            zeros           0.1       0.010000          1.0          0.9
buy_trials_GRU      098 15.864922      0.995039  0.994883         1.479174               1           32       relu          he_normal      0.1                0.4                 1     32        he_normal           0.2       0.010000          1.0          0.9
buy_trials_GRU      039 18.528540      0.995039  0.995020         1.476511               1           32       relu          he_normal      0.1                0.2                 1    128    glorot_normal           0.1       0.009483          1.5          0.5
buy_trials_GRU      085 20.553312      0.995039  0.994902         1.474486               1           32       relu      glorot_normal      0.4                0.4                 1     32        he_normal           0.5       0.010000          1.0          0.9


Most Common Hyperparameters in Top 5:

  num_GRU_layers: 1 (shared by 5 models)
  units_first: 32 (shared by 5 models)
  activation: relu (shared by 5 models)
  kernel_initializer: glorot_normal (shared by 3 models)
  dropout: 0.4 (shared by 3 models)
  recurrent_dropout: 0.4 (shared by 3 models)
  num_dense_layers: 1 (shared by 5 models)
  units: 32 (shared by 4 models)
  bias_initializer: he_normal (shared by 3 models)
  dropout_rate: 0.5 (shared by 2 models)
  learning_rate: 0.01 (shared by 4 models)
  focal_gamma: 1.0 (shared by 3 models)
  focal_alpha: 0.9 (shared by 3 models)
