model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_LSTM_layers,units_first,activation,kernel_initializer,forget_bias,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
buy_trials_LSTM,000,247.70220947265625,0.9950390458106995,0.9948632717132568,1.2474349455833436,2,32,tanh,glorot_normal,True,0.30000000000000004,0.35000000000000003,1,64,zeros,0.5,0.001715074355925934,3.0,0.1
buy_trials_LSTM,001,1116.6507568359375,0.9950390458106995,0.9760351777076721,0.39146173334121714,3,32,tanh,glorot_normal,False,0.30000000000000004,0.45,1,64,glorot_normal,0.1,0.00014111965749931114,2.5,0.7000000000000001
buy_trials_LSTM,002,166.8947296142578,0.9950390458106995,0.9950000047683716,1.3281443161964417,3,64,relu,glorot_normal,True,0.30000000000000004,0.30000000000000004,2,128,zeros,0.2,0.0010277342442932575,1.0,0.5
buy_trials_LSTM,003,68.95321655273438,0.9950390458106995,0.994921863079071,1.426085829257965,3,32,gelu,glorot_normal,False,0.2,0.25,1,64,he_normal,0.30000000000000004,0.0033137745378583987,1.5,0.2
buy_trials_LSTM,004,384.17022705078125,0.9950390458106995,0.9950781464576721,1.1108688187599183,2,64,relu,he_normal,False,0.45,0.45,2,96,zeros,0.1,0.0003623815491328145,3.0,0.8
buy_trials_LSTM,005,541.241455078125,0.9950390458106995,0.9949804544448853,0.9537975907325744,2,32,relu,he_normal,True,0.25,0.4,2,96,zeros,0.30000000000000004,0.0001272703380605649,3.0,0.9
buy_trials_LSTM,006,269.58905029296875,0.9950390458106995,0.8094726800918579,1.1962699456214905,2,32,gelu,he_normal,True,0.25,0.30000000000000004,1,64,he_normal,0.30000000000000004,0.0001395510628578222,1.0,0.1
buy_trials_LSTM,007,831.8199462890625,0.9950390458106995,0.9876953363418579,0.6632190995216369,3,96,tanh,he_normal,False,0.45,0.2,2,64,zeros,0.5,0.0025890919266874407,3.0,0.9
buy_trials_LSTM,008,2231.087158203125,0.04960937425494194,0.2626953125,-1.712623475819826,1,96,tanh,he_normal,True,0.30000000000000004,0.2,2,32,glorot_normal,0.1,0.00010805627988186071,1.0,0.30000000000000004
buy_trials_LSTM,009,87.99817657470703,0.9950390458106995,0.994824230670929,1.4070408692359924,3,64,gelu,he_normal,False,0.25,0.4,1,32,he_normal,0.5,0.006353350532750873,1.0,0.6
buy_trials_LSTM,010,46.68547821044922,0.9950390458106995,0.9194921851158142,1.4483535676002504,2,32,relu,he_normal,False,0.30000000000000004,0.4,1,32,he_normal,0.2,0.0013291852527485804,3.0,0.6
buy_trials_LSTM,011,204.69686889648438,0.9950390458106995,0.9949414134025574,1.2903421769142152,2,96,relu,glorot_normal,False,0.2,0.4,1,64,glorot_normal,0.1,0.001027905840968144,1.5,0.6
buy_trials_LSTM,012,2016.81640625,0.9950390458106995,0.7101367115974426,-0.5259200918674467,2,96,tanh,glorot_normal,True,0.2,0.45,2,64,he_normal,0.4,0.00030969640670569564,2.5,0.30000000000000004
buy_trials_LSTM,013,1309.471435546875,0.9950390458106995,0.7854687571525574,0.15076901793479913,1,96,tanh,glorot_normal,True,0.35000000000000003,0.4,2,64,he_normal,0.2,0.0004938970115853091,2.5,0.6
buy_trials_LSTM,014,263.0958251953125,0.9950390458106995,0.9949609637260437,1.231943220615387,3,32,gelu,he_normal,False,0.45,0.45,1,128,glorot_normal,0.5,0.0003484786063390684,1.5,0.5
buy_trials_LSTM,015,600.4122924804688,0.9950390458106995,0.9950585961341858,0.8946267533302307,3,96,tanh,glorot_normal,False,0.25,0.35000000000000003,1,32,glorot_normal,0.2,0.003049541549141375,2.5,0.8
buy_trials_LSTM,016,30.57938003540039,0.9950390458106995,0.9949023723602295,1.464459665775299,3,32,gelu,glorot_normal,True,0.30000000000000004,0.45,1,32,he_normal,0.2,0.006351062743654629,3.0,0.4
buy_trials_LSTM,017,89.29967498779297,0.9950390458106995,0.9949609637260437,1.4135603346824646,1,32,gelu,he_normal,False,0.35000000000000003,0.30000000000000004,2,128,he_normal,0.30000000000000004,0.00207431648016279,2.5,0.5
buy_trials_LSTM,018,928.9675903320312,0.9950390458106995,0.9947851300239563,0.5660714554786682,1,128,relu,he_normal,False,0.30000000000000004,0.35000000000000003,1,128,zeros,0.1,0.00023183657189474222,2.0,0.6
buy_trials_LSTM,019,626.266845703125,0.9950390458106995,0.87353515625,0.9613344583511353,1,32,tanh,he_normal,True,0.35000000000000003,0.25,1,32,glorot_normal,0.4,0.00022692088176343598,2.0,0.30000000000000004
buy_trials_LSTM,020,1161.546875,0.9950390458106995,0.9950195550918579,0.3334921708106995,3,96,tanh,he_normal,False,0.45,0.35000000000000003,2,128,he_normal,0.2,0.0012872737477703168,3.0,0.2
buy_trials_LSTM,021,105.96836853027344,0.9950390458106995,0.6546289324760437,1.3462880129814148,1,32,relu,glorot_normal,False,0.35000000000000003,0.2,1,64,he_normal,0.30000000000000004,0.0005017603502099382,3.0,0.4
buy_trials_LSTM,022,166.98983764648438,0.9950390458106995,0.9948632717132568,1.328049208164215,3,128,gelu,glorot_normal,False,0.2,0.35000000000000003,1,128,zeros,0.5,0.006695608114388132,2.5,0.8
buy_trials_LSTM,023,768.6990356445312,0.9950390458106995,0.9949609637260437,0.7263400101661682,3,96,relu,glorot_normal,True,0.4,0.2,1,32,zeros,0.2,0.0002933768012428558,2.5,0.30000000000000004
buy_trials_LSTM,024,84.59989929199219,0.9950390458106995,0.9948632717132568,1.4071695039272307,1,32,gelu,glorot_normal,False,0.35000000000000003,0.35000000000000003,2,96,glorot_normal,0.5,0.0021765065892749877,2.0,0.5
buy_trials_LSTM,025,382.606201171875,0.9950390458106995,0.9345312714576721,1.1124328446388245,2,64,gelu,glorot_normal,False,0.2,0.45,1,64,glorot_normal,0.5,0.00031570701500918154,1.0,0.1
buy_trials_LSTM,026,99.33305358886719,0.9950390458106995,0.9949023723602295,1.3957059922218322,2,96,gelu,he_normal,False,0.25,0.25,2,64,he_normal,0.2,0.00727915929887585,1.5,0.6
