Top 5 Trials for buy_trials_LSTM by Validation Loss:

     model_type trial_id  val_loss  val_accuracy  accuracy  composite_score  num_LSTM_layers  units_first activation kernel_initializer  forget_bias  dropout  recurrent_dropout  num_dense_layers  units bias_initializer  dropout_rate  learning_rate  focal_gamma  focal_alpha
buy_trials_LSTM      082 13.447931      0.995039  0.994785         1.481591                1           32       relu      glorot_normal        False     0.20               0.20                 1     32            zeros           0.2           0.01          3.0          0.1
buy_trials_LSTM      127 14.026379      0.995039  0.994961         1.481013                1           32       relu      glorot_normal        False     0.45               0.45                 1     32            zeros           0.2           0.01          3.0          0.1
buy_trials_LSTM      053 14.309901      0.995039  0.995078         1.480729                1           32       relu          he_normal        False     0.35               0.35                 1     32        he_normal           0.5           0.01          3.0          0.5
buy_trials_LSTM      145 20.934803      0.995039  0.994980         1.480536                1           32       gelu      glorot_normal        False     0.45               0.45                 1    128            zeros           0.5           0.01          1.0          0.9
buy_trials_LSTM      069 14.590961      0.995039  0.994824         1.480448                1           32       relu      glorot_normal        False     0.20               0.20                 1     64        he_normal           0.5           0.01          1.0          0.1


Most Common Hyperparameters in Top 5:

  num_LSTM_layers: 1 (shared by 5 models)
  units_first: 32 (shared by 5 models)
  activation: relu (shared by 4 models)
  kernel_initializer: glorot_normal (shared by 4 models)
  forget_bias: False (shared by 5 models)
  dropout: 0.2 (shared by 2 models)
  recurrent_dropout: 0.2 (shared by 2 models)
  num_dense_layers: 1 (shared by 5 models)
  units: 32 (shared by 3 models)
  bias_initializer: zeros (shared by 3 models)
  dropout_rate: 0.5 (shared by 3 models)
  learning_rate: 0.01 (shared by 5 models)
  focal_gamma: 3.0 (shared by 3 models)
  focal_alpha: 0.1 (shared by 3 models)
