model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv_layers,filters,kernel_size,padding,activation,kernel_initializer,pool_size,strides,num_lstm_layers,units_first,forget_bias,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
sell_trials_Conv1D_LSTM,01,117.9354476928711,0.004921874962747097,0.05558593571186066,0.386986427269876,3,64,5,same,relu,glorot_normal,3,2,3,64,False,0.25,0.45,1,64,he_normal,0.5,0.00019528654576328537,1.5,0.5
sell_trials_Conv1D_LSTM,02,68.10113525390625,0.9950781464576721,0.9838671684265137,1.410839828491211,1,64,7,same,gelu,glorot_normal,2,1,1,32,False,0.45,0.35000000000000003,2,64,zeros,0.2,0.0006426228293037218,1.0,0.6
sell_trials_Conv1D_LSTM,03,167.49363708496094,0.9950781464576721,0.9956250190734863,1.3275845093727112,1,128,7,valid,gelu,glorot_normal,2,1,3,128,False,0.2,0.25,2,128,zeros,0.4,0.0071223894490449685,2.0,0.1
sell_trials_Conv1D_LSTM,04,240.8013153076172,0.9950781464576721,0.8844531178474426,1.254276831150055,2,32,7,valid,gelu,glorot_normal,3,2,2,64,False,0.30000000000000004,0.30000000000000004,2,96,zeros,0.1,0.000100697884207127,2.5,0.5
sell_trials_Conv1D_LSTM,05,215917608960.0,0.061640623956918716,0.1564062535762787,-215917608.4297671,2,128,5,valid,relu,he_normal,2,1,3,96,True,0.45,0.25,2,64,glorot_normal,0.4,0.000615233199987207,1.0,0.5
sell_trials_Conv1D_LSTM,06,247.1277313232422,0.9950781464576721,0.9956640601158142,1.2479504151344298,1,96,3,same,relu,glorot_normal,3,1,3,128,False,0.25,0.4,1,32,he_normal,0.5,0.006353350532750873,1.0,0.6
sell_trials_Conv1D_LSTM,08,112.03498077392578,0.9950781464576721,0.9958202838897705,1.3830431656837463,3,32,5,same,relu,he_normal,2,2,2,96,False,0.2,0.35000000000000003,1,128,he_normal,0.2,0.002491419010534623,2.5,0.30000000000000004
sell_trials_Conv1D_LSTM,09,326.0530090332031,0.9950781464576721,0.9502734541893005,1.1690251374244691,3,64,3,valid,relu,glorot_normal,3,2,3,128,False,0.4,0.30000000000000004,1,96,glorot_normal,0.4,0.00017275684705076117,3.0,0.7000000000000001
sell_trials_Conv1D_LSTM,10,7351499.0,0.6665624976158142,0.8072656393051147,-7350.351569967508,2,128,7,same,gelu,glorot_normal,3,1,2,64,True,0.35000000000000003,0.30000000000000004,1,64,zeros,0.4,0.00011998472287810798,1.5,0.4
sell_trials_Conv1D_LSTM,11,1422770688.0,0.7078906297683716,0.6588671803474426,-1422769.5627532369,1,96,5,valid,gelu,glorot_normal,3,1,3,64,True,0.25,0.2,2,64,he_normal,0.5,0.0006620419808746878,1.5,0.1
sell_trials_Conv1D_LSTM,12,145.30117797851562,0.9950781464576721,0.8683202862739563,1.3497769684791565,3,96,3,valid,relu,he_normal,3,2,2,96,True,0.30000000000000004,0.25,2,32,glorot_normal,0.2,0.0005347601471523541,2.0,0.4
sell_trials_Conv1D_LSTM,14,304.1878356933594,0.9950781464576721,0.9955859184265137,1.1908903107643127,3,96,5,valid,relu,he_normal,3,2,3,128,False,0.35000000000000003,0.45,1,32,zeros,0.1,0.0001916346897390569,1.5,0.6
sell_trials_Conv1D_LSTM,16,46.89496612548828,0.9950781464576721,0.9926953315734863,1.4481831803321839,3,128,7,valid,relu,glorot_normal,3,2,1,64,False,0.2,0.25,1,96,zeros,0.1,0.0001154562309653233,3.0,0.5
sell_trials_Conv1D_LSTM,17,3091.071044921875,0.012265625409781933,0.34859374165534973,-2.5910837379172444,1,96,5,valid,gelu,glorot_normal,3,2,2,64,True,0.30000000000000004,0.45,1,32,zeros,0.5,0.00011761309742767026,1.5,0.5
sell_trials_Conv1D_LSTM,18,27.119468688964844,0.9950781464576721,0.9952734112739563,1.4685475120544433,3,32,3,same,relu,he_normal,3,2,1,32,False,0.4,0.30000000000000004,2,64,he_normal,0.2,0.001772507252479043,1.0,0.6
sell_trials_Conv1D_LSTM,19,108.37992095947266,0.992968738079071,0.5205078125,1.3845888171195984,2,64,5,same,relu,glorot_normal,2,2,1,128,True,0.25,0.30000000000000004,2,64,glorot_normal,0.2,0.000642144054857491,1.0,0.2
sell_trials_Conv1D_LSTM,20,24.414918899536133,0.9950781464576721,0.995312511920929,1.470663227558136,2,128,3,valid,gelu,glorot_normal,2,1,1,32,False,0.25,0.25,2,96,he_normal,0.1,0.00829014608439077,1.5,0.7000000000000001
sell_trials_Conv1D_LSTM,21,33036762.0,0.9950781464576721,0.949999988079071,-33035.318641548874,2,32,3,same,gelu,glorot_normal,3,1,1,128,True,0.30000000000000004,0.2,2,64,glorot_normal,0.5,0.006838349735093645,1.5,0.7000000000000001
sell_trials_Conv1D_LSTM,22,9402.755859375,0.3941406309604645,0.35707032680511475,-8.463269922018052,2,96,5,same,relu,he_normal,2,2,3,64,True,0.45,0.35000000000000003,2,96,zeros,0.30000000000000004,0.0001688225189917974,2.5,0.6
sell_trials_Conv1D_LSTM,23,17189.6796875,0.9947656393051147,0.8223437666893005,-15.720328664064407,2,32,5,same,gelu,glorot_normal,3,2,3,32,False,0.2,0.30000000000000004,1,128,he_normal,0.5,0.0016102851161552349,3.0,0.1
sell_trials_Conv1D_LSTM,24,157185.0625,0.61328125,0.26261720061302185,-156.07887596106528,1,128,3,valid,gelu,he_normal,3,2,3,128,False,0.30000000000000004,0.30000000000000004,1,96,he_normal,0.2,0.0003918641276645972,2.5,0.4
sell_trials_Conv1D_LSTM,25,2770.2626953125,0.9947656393051147,0.8482031226158142,-1.275497056007385,2,128,5,same,relu,glorot_normal,3,2,3,96,False,0.30000000000000004,0.35000000000000003,1,96,zeros,0.5,0.0001074112012223909,2.5,0.6
sell_trials_Conv1D_LSTM,26,39.253379821777344,0.9950781464576721,0.8896874785423279,1.4331486563682556,3,96,7,valid,gelu,glorot_normal,2,2,1,32,True,0.4,0.25,1,128,glorot_normal,0.4,0.00042865485672462857,2.0,0.7000000000000001
sell_trials_Conv1D_LSTM,27,4095126.0,0.018906250596046448,0.2335546910762787,-4094.592474398971,1,96,5,same,gelu,he_normal,3,1,1,96,False,0.45,0.2,2,64,zeros,0.5,0.002596905757124934,3.0,0.2
sell_trials_Conv1D_LSTM,28,8613.0400390625,0.1368750035762787,0.24988281726837158,-7.94925175023079,2,32,3,same,gelu,he_normal,2,2,2,96,True,0.25,0.25,1,32,he_normal,0.30000000000000004,0.0010413788678113095,1.5,0.30000000000000004
sell_trials_Conv1D_LSTM,30,604.5965576171875,0.42085936665534973,0.813281238079071,0.3517998135089875,2,96,5,same,gelu,he_normal,3,1,1,32,False,0.4,0.35000000000000003,2,96,glorot_normal,0.1,0.0028168240891253142,1.0,0.9
