model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_LSTM_layers,units_first,activation,kernel_initializer,forget_bias,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
sell_trials_LSTM,00,1042.7725830078125,0.9950781464576721,0.9891796708106995,0.4767668328285217,2,32,tanh,glorot_normal,True,0.30000000000000004,0.35000000000000003,1,64,zeros,0.5,0.001715074355925934,3.0,0.1
sell_trials_LSTM,01,3813.742431640625,0.34281250834465027,0.46339842677116394,-2.9438123133182525,3,32,tanh,glorot_normal,False,0.30000000000000004,0.45,1,64,glorot_normal,0.1,0.00014111965749931114,2.5,0.7000000000000001
sell_trials_LSTM,02,9214.537109375,0.9950781464576721,0.9657421708106995,-7.719458962917328,3,64,relu,glorot_normal,True,0.30000000000000004,0.30000000000000004,2,128,zeros,0.2,0.0010277342442932575,1.0,0.5
sell_trials_LSTM,03,175.0977020263672,0.9950781464576721,0.9954687356948853,1.319980444431305,3,32,gelu,glorot_normal,False,0.2,0.25,1,64,he_normal,0.30000000000000004,0.0033137745378583987,1.5,0.2
sell_trials_LSTM,05,5239.49755859375,0.9939844012260437,0.9228125214576721,-3.745434658050537,2,32,relu,he_normal,True,0.25,0.4,2,96,zeros,0.30000000000000004,0.0001272703380605649,3.0,0.9
sell_trials_LSTM,06,2473.072021484375,0.004921874962747097,0.06914062798023224,-2.01672629288584,2,32,gelu,he_normal,True,0.25,0.30000000000000004,1,64,he_normal,0.30000000000000004,0.0001395510628578222,1.0,0.1
sell_trials_LSTM,07,2689.2919921875,0.9950781464576721,0.9696093797683716,-1.1780217671394348,3,96,tanh,he_normal,False,0.45,0.2,2,64,zeros,0.5,0.0025890919266874407,3.0,0.9
sell_trials_LSTM,08,7301.1611328125,0.9950781464576721,0.9953515529632568,-5.837107442378998,1,96,tanh,he_normal,True,0.30000000000000004,0.2,2,32,glorot_normal,0.1,0.00010805627988186071,1.0,0.30000000000000004
sell_trials_LSTM,09,5126.97119140625,0.9950781464576721,0.6134374737739563,-3.631893044948578,3,64,gelu,he_normal,False,0.25,0.4,1,32,he_normal,0.5,0.006353350532750873,1.0,0.6
sell_trials_LSTM,11,1658.7734375,0.9950781464576721,0.9956250190734863,-0.16369529104232794,2,96,relu,glorot_normal,False,0.2,0.4,1,64,glorot_normal,0.1,0.001027905840968144,1.5,0.6
sell_trials_LSTM,12,7241.44580078125,0.22523437440395355,0.4767187535762787,-6.531775391221046,2,96,tanh,glorot_normal,True,0.2,0.45,2,64,he_normal,0.4,0.00030969640670569564,2.5,0.30000000000000004
sell_trials_LSTM,13,5046.8642578125,0.991015613079071,0.7795703411102295,-3.5950283572673793,1,96,tanh,glorot_normal,True,0.35000000000000003,0.4,2,64,he_normal,0.2,0.0004938970115853091,2.5,0.6
sell_trials_LSTM,15,1944.6712646484375,0.9950781464576721,0.9955078363418579,-0.45135962104797356,3,96,tanh,glorot_normal,False,0.25,0.35000000000000003,1,32,glorot_normal,0.2,0.003049541549141375,2.5,0.8
sell_trials_LSTM,16,150.9170379638672,0.9950781464576721,0.9958202838897705,1.344161108493805,3,32,gelu,glorot_normal,True,0.30000000000000004,0.45,1,32,he_normal,0.2,0.006351062743654629,3.0,0.4
sell_trials_LSTM,17,322.4535827636719,0.9950781464576721,0.9956640601158142,1.1725853140354157,1,32,gelu,he_normal,False,0.35000000000000003,0.30000000000000004,2,128,he_normal,0.30000000000000004,0.00207431648016279,2.5,0.5
sell_trials_LSTM,18,12990.869140625,0.8913280963897705,0.4599609375,-11.53142932653427,1,128,relu,he_normal,False,0.30000000000000004,0.35000000000000003,1,128,zeros,0.1,0.00023183657189474222,2.0,0.6
sell_trials_LSTM,19,2205.128173828125,0.9950781464576721,0.8737109303474426,-0.666502993106842,1,32,tanh,he_normal,True,0.35000000000000003,0.25,1,32,glorot_normal,0.4,0.00022692088176343598,2.0,0.30000000000000004
sell_trials_LSTM,20,4069.876953125,0.9950781464576721,0.9946874976158142,-2.571069522857666,3,96,tanh,he_normal,False,0.45,0.35000000000000003,2,128,he_normal,0.2,0.0012872737477703168,3.0,0.2
sell_trials_LSTM,21,1065.887939453125,0.0071875001303851604,0.34425780177116394,-0.5170706480629743,1,32,relu,glorot_normal,False,0.35000000000000003,0.2,1,64,he_normal,0.30000000000000004,0.0005017603502099382,3.0,0.4
sell_trials_LSTM,22,355.77325439453125,0.9950781464576721,0.9956250190734863,1.1393048920631408,3,128,gelu,glorot_normal,False,0.2,0.35000000000000003,1,128,zeros,0.5,0.006695608114388132,2.5,0.8
