Top 5 Trials for sell_trials_Conv1D_LSTM by Validation Loss:

             model_type trial_id  val_loss  val_accuracy  accuracy  composite_score  num_conv_layers  filters  kernel_size padding activation kernel_initializer  pool_size  strides  num_lstm_layers  units_first  forget_bias  dropout  recurrent_dropout  num_dense_layers  units bias_initializer  dropout_rate  learning_rate  focal_gamma  focal_alpha
sell_trials_Conv1D_LSTM      002 51.313908      0.994687  0.992656         1.515444                1       64            7    same       gelu      glorot_normal          2        1                1           32        False     0.45               0.35                 2     64            zeros           0.2       0.000643          1.0          0.6
sell_trials_Conv1D_LSTM      055 44.017563      0.994297  0.959961         1.512720                1       96            5    same       gelu          he_normal          2        2                1           32         True     0.20               0.45                 1     96    glorot_normal           0.4       0.000238          2.0          0.9
sell_trials_Conv1D_LSTM      136 23.014507      0.994687  0.995117         1.490218                3       32            7    same       gelu      glorot_normal          3        1                1           32         True     0.40               0.45                 2     32            zeros           0.1       0.002788          1.0          0.1
sell_trials_Conv1D_LSTM      050 36.007912      0.994687  0.972266         1.481992                1      128            7   valid       relu      glorot_normal          2        2                1           32         True     0.40               0.20                 1     32        he_normal           0.2       0.000121          1.5          0.5
sell_trials_Conv1D_LSTM      121 14.418539      0.994687  0.995000         1.480269                3       32            5    same       gelu      glorot_normal          3        2                1           32        False     0.45               0.25                 2     32            zeros           0.1       0.007044          1.0          0.9


Most Common Hyperparameters in Top 5:

  num_conv_layers: 1 (shared by 3 models)
  filters: 32 (shared by 2 models)
  kernel_size: 7 (shared by 3 models)
  padding: same (shared by 4 models)
  activation: gelu (shared by 4 models)
  kernel_initializer: glorot_normal (shared by 4 models)
  pool_size: 2 (shared by 3 models)
  strides: 2 (shared by 3 models)
  num_lstm_layers: 1 (shared by 5 models)
  units_first: 32 (shared by 5 models)
  forget_bias: True (shared by 3 models)
  dropout: 0.45 (shared by 2 models)
  recurrent_dropout: 0.45 (shared by 2 models)
  num_dense_layers: 2 (shared by 3 models)
  units: 32 (shared by 3 models)
  bias_initializer: zeros (shared by 3 models)
  dropout_rate: 0.2 (shared by 2 models)
  focal_gamma: 1.0 (shared by 3 models)
  focal_alpha: 0.9 (shared by 2 models)
