model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_GRU_layers,units_first,activation,kernel_initializer,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
sell_trials_GRU,000,3562.630859375,0.9946874976158142,0.9951953291893005,-2.067943361759186,2,32,gelu,glorot_normal,0.4,0.2,2,32,glorot_normal,0.2,0.00905127409782462,2.5,0.9
sell_trials_GRU,001,429.4666748046875,0.9946874976158142,0.8710156083106995,1.065456439971924,1,128,relu,he_normal,0.15000000000000002,0.2,1,128,glorot_normal,0.30000000000000004,0.0006752863927347823,1.0,0.1
sell_trials_GRU,002,13544.990234375,0.9946874976158142,0.9952734112739563,-12.050106399059295,3,96,tanh,glorot_normal,0.1,0.15000000000000002,2,64,glorot_normal,0.4,0.004255555813913329,1.0,0.30000000000000004
sell_trials_GRU,003,8151.4189453125,0.9946874976158142,0.7489062547683716,-6.654870650291443,2,32,gelu,he_normal,0.15000000000000002,0.35,1,64,zeros,0.2,0.00014690651027379393,2.0,0.9
sell_trials_GRU,004,8030.64697265625,0.9946874976158142,0.9952734112739563,-6.569960199594497,2,128,gelu,glorot_normal,0.2,0.2,1,96,zeros,0.5,0.008316141310476274,3.0,0.7000000000000001
sell_trials_GRU,005,227.4640655517578,0.0053125000558793545,0.03121093660593033,0.261632335241884,1,32,relu,he_normal,0.35,0.25,1,32,he_normal,0.5,0.0003021384939866327,2.5,0.9
sell_trials_GRU,006,6432.126953125,0.9946874976158142,0.9461718797683716,-4.937046780109405,2,32,gelu,glorot_normal,0.4,0.4,2,32,he_normal,0.30000000000000004,0.0010953574938066576,1.5,0.4
sell_trials_GRU,007,5721.640625,0.9946874976158142,0.9951953291893005,-4.24095095038414,2,64,tanh,he_normal,0.1,0.15000000000000002,1,128,glorot_normal,0.30000000000000004,0.0064974404904634625,2.0,0.8
sell_trials_GRU,008,5272.29833984375,0.9946874976158142,0.9586328268051147,-3.792488221168518,1,96,gelu,glorot_normal,0.35,0.30000000000000004,2,128,zeros,0.30000000000000004,0.0009452767099282696,2.5,0.7000000000000001
sell_trials_GRU,009,8514.8564453125,0.0053125000558793545,0.17804688215255737,-8.026768316689878,2,32,gelu,glorot_normal,0.25,0.1,1,32,zeros,0.4,0.0003243806953412315,2.5,0.8
sell_trials_GRU,010,18034.7109375,0.9922656416893005,0.7882421612739563,-16.56574636077881,2,64,tanh,glorot_normal,0.1,0.4,2,128,zeros,0.30000000000000004,0.0008019212661756024,1.0,0.30000000000000004
sell_trials_GRU,011,10203.16015625,0.9946874976158142,0.9936718940734863,-8.708472658634186,3,64,gelu,he_normal,0.25,0.1,2,64,glorot_normal,0.5,0.0015525209418522444,2.5,0.5
sell_trials_GRU,012,327.881103515625,0.0053906249813735485,0.3084765672683716,0.1862923850826919,1,64,relu,glorot_normal,0.35,0.1,1,64,zeros,0.30000000000000004,0.00036151371126048177,2.0,0.4
sell_trials_GRU,013,2465.8642578125,0.9946874976158142,0.7277734279632568,-0.9711767601966859,2,64,relu,he_normal,0.1,0.4,2,64,he_normal,0.4,0.00030969640670569564,2.5,0.30000000000000004
sell_trials_GRU,014,6313.55126953125,0.9936718940734863,0.6085546612739563,-4.828599892616272,1,96,gelu,glorot_normal,0.4,0.25,2,128,zeros,0.4,0.0004827322539144281,1.5,0.7000000000000001
sell_trials_GRU,015,2023.34033203125,0.9946874976158142,0.9949609637260437,-0.528652834415436,2,128,relu,he_normal,0.30000000000000004,0.2,2,128,zeros,0.5,0.0008251039755551379,3.0,0.30000000000000004
