Top 5 Trials for sell_trials_LSTM by Validation Loss:

      model_type trial_id  val_loss  val_accuracy  accuracy  composite_score  num_LSTM_layers  units_first activation kernel_initializer  forget_bias  dropout  recurrent_dropout  num_dense_layers  units bias_initializer  dropout_rate  learning_rate  focal_gamma  focal_alpha
sell_trials_LSTM      075 18.200495      0.994687  0.995273         1.476487                1           32       relu      glorot_normal        False     0.40               0.20                 1     32            zeros           0.5           0.01          3.0          0.1
sell_trials_LSTM      114 18.533577      0.994687  0.995000         1.476154                1           32       relu      glorot_normal        False     0.20               0.20                 1     32        he_normal           0.5           0.01          3.0          0.2
sell_trials_LSTM      103 18.939455      0.994687  0.995156         1.475748                1           32       relu      glorot_normal        False     0.45               0.20                 1     32        he_normal           0.5           0.01          3.0          0.9
sell_trials_LSTM      143 19.269619      0.994687  0.995078         1.475418                1           32       relu          he_normal        False     0.20               0.20                 1     32        he_normal           0.2           0.01          3.0          0.7
sell_trials_LSTM      149 19.318800      0.994687  0.995508         1.475369                1           32       relu          he_normal        False     0.40               0.45                 1     32        he_normal           0.1           0.01          3.0          0.1


Most Common Hyperparameters in Top 5:

  num_LSTM_layers: 1 (shared by 5 models)
  units_first: 32 (shared by 5 models)
  activation: relu (shared by 5 models)
  kernel_initializer: glorot_normal (shared by 3 models)
  forget_bias: False (shared by 5 models)
  dropout: 0.4 (shared by 2 models)
  recurrent_dropout: 0.2 (shared by 4 models)
  num_dense_layers: 1 (shared by 5 models)
  units: 32 (shared by 5 models)
  bias_initializer: he_normal (shared by 4 models)
  dropout_rate: 0.5 (shared by 3 models)
  learning_rate: 0.01 (shared by 5 models)
  focal_gamma: 3.0 (shared by 5 models)
  focal_alpha: 0.1 (shared by 2 models)
