model_type,timeframe,architecture,trial_id,composite_score,val_accuracy,val_auc,val_loss,accuracy,hp_num_conv1d_layers,hp_filters,hp_kernel_size,hp_padding,hp_activation,hp_kernel_initializer,hp_add_pooling_0,hp_pool_size,hp_strides,hp_num_dense_layers,hp_units,hp_bias_initializer,hp_dropout_rate,hp_learning_rate,hp_focal_gamma,hp_focal_alpha,hp_add_pooling_1,hp_add_pooling_2,hp_num_conv_layers,hp_num_lstm_layers,hp_units_first,hp_forget_bias,hp_dropout,hp_recurrent_dropout,hp_num_GRU_layers,hp_num_LSTM_layers
sell_signal,,Conv1D,000,-7.927161455154419,0.6059374809265137,0.45629239082336426,89.89391326904297,0.5816406011581421,2.0,32.0,5.0,same,gelu,glorot_normal,True,2.0,1.0,1,128,glorot_normal,0.5,0.00015159319577885927,3.0,0.1,True,,,,,,,,,
sell_signal,,Conv1D,001,-4.121496140956879,0.7404687404632568,0.5226958394050598,53.84660720825195,0.6632031202316284,2.0,32.0,3.0,same,gelu,glorot_normal,False,2.0,1.0,1,96,he_normal,0.5,0.00044412650444693207,1.0,0.30000000000000004,True,,,,,,,,,
sell_signal,,Conv1D,002,-2.349574472848326,0.0053125000558793545,0.48497241735458374,28.39859390258789,0.004765625111758709,2.0,64.0,7.0,valid,relu,glorot_normal,True,2.0,1.0,2,32,he_normal,0.1,0.0006237028864858578,1.0,0.2,False,,,,,,,,,
sell_signal,,Conv1D,003,0.3454787611961365,0.9946874976158142,0.5,11.492087364196777,0.9949609637260437,2.0,128.0,5.0,valid,relu,glorot_normal,False,2.0,1.0,2,32,he_normal,0.5,0.005704251931830293,2.5,0.30000000000000004,False,,,,,,,,,
sell_signal,,Conv1D,004,-8.872413074970245,0.9946874976158142,0.5001571178436279,103.67257690429688,0.9950000047683716,1.0,128.0,7.0,same,relu,glorot_normal,True,3.0,1.0,2,128,glorot_normal,0.1,0.001047217795168058,1.0,0.9,True,,,,,,,,,
sell_signal,,Conv1D,005,-9.017558336257935,0.29499998688697815,0.4414242208003998,97.53982543945312,0.2948046922683716,2.0,32.0,7.0,valid,gelu,glorot_normal,False,2.0,1.0,2,96,zeros,0.1,0.000100697884207127,2.5,0.5,True,,,,,,,,,
sell_signal,,Conv1D,006,-5.464363890886307,0.9946874976158142,0.4848771393299103,69.43928527832031,0.9951171875,3.0,64.0,7.0,same,gelu,glorot_normal,False,3.0,2.0,2,128,zeros,0.30000000000000004,0.0009452767099282696,2.5,0.7000000000000001,False,True,,,,,,,,
sell_signal,,Conv1D,007,-7.012476909160615,0.9939062595367432,0.5007854104042053,85.07168579101562,0.9945312738418579,1.0,96.0,3.0,valid,relu,glorot_normal,False,2.0,2.0,1,128,he_normal,0.2,0.00044489082371598814,3.0,0.4,False,True,,,,,,,,
sell_signal,,Conv1D,008,-2.0733399987220764,0.9946874976158142,0.5,35.680274963378906,0.9947656393051147,3.0,128.0,3.0,valid,relu,glorot_normal,False,3.0,1.0,1,128,glorot_normal,0.1,0.003298757461307946,1.5,0.6,True,True,,,,,,,,
sell_signal,,Conv1D,009,0.18679221868515006,0.9946874976158142,0.5,13.07895278930664,0.994921863079071,2.0,96.0,3.0,same,relu,glorot_normal,True,2.0,1.0,1,32,glorot_normal,0.2,0.001300398010371077,1.5,0.6,False,False,,,,,,,,
sell_signal,,Conv1D,010,0.8154566407203674,0.9946874976158142,0.49992144107818604,6.791522979736328,0.9950000047683716,2.0,32.0,7.0,valid,relu,he_normal,True,2.0,2.0,1,32,he_normal,0.30000000000000004,0.000628226540956973,3.0,0.5,True,True,,,,,,,,
sell_signal,,Conv1D,011,-5.069762289524078,0.5256249904632568,0.4970390200614929,60.92426300048828,0.4595312476158142,1.0,96.0,5.0,same,gelu,he_normal,True,2.0,2.0,2,64,he_normal,0.5,0.00017850071151495693,3.0,0.5,True,False,,,,,,,,
sell_signal,,Conv1D,012,0.8797687411308288,0.9946874976158142,0.5001571178436279,6.150758743286133,0.9950390458106995,2.0,64.0,7.0,valid,relu,glorot_normal,False,2.0,2.0,1,32,glorot_normal,0.2,0.003049541549141375,2.5,0.8,True,False,,,,,,,,
sell_signal,,Conv1D,013,-10.387880997639149,0.0063281250186264515,0.503226637840271,108.97435760498047,0.052421875298023224,3.0,32.0,7.0,same,gelu,glorot_normal,False,3.0,1.0,2,128,glorot_normal,0.2,0.00010957237595130019,2.5,0.7000000000000001,False,True,,,,,,,,
sell_signal,,Conv1D,014,-2.6379150771535933,0.0053125000558793545,0.5,31.432275772094727,0.34226563572883606,2.0,96.0,7.0,valid,gelu,he_normal,True,2.0,1.0,2,32,glorot_normal,0.2,0.0005347601471523541,2.0,0.4,True,False,,,,,,,,
sell_signal,,Conv1D,015,-0.5235130906105043,0.9946874976158142,0.5001177787780762,20.183183670043945,0.9916796684265137,1.0,32.0,5.0,valid,relu,glorot_normal,True,3.0,2.0,2,32,glorot_normal,0.1,0.0008402218420646586,2.5,0.2,False,False,,,,,,,,
sell_signal,,Conv1D,016,-1.729106831550598,0.9946874976158142,0.5003141760826111,32.241085052490234,0.7241796851158142,3.0,96.0,5.0,valid,relu,he_normal,True,3.0,2.0,2,32,glorot_normal,0.5,0.0001945808497432753,1.0,0.2,False,False,,,,,,,,
sell_signal,,Conv1D,017,-3.986615067720413,0.9871875047683716,0.4780174195766449,54.5181999206543,0.9884374737739563,2.0,96.0,3.0,same,relu,he_normal,True,2.0,2.0,1,128,he_normal,0.5,0.0001567123683813819,1.5,0.2,True,False,,,,,,,,
sell_signal,,Conv1D,018,-4.332529526948929,0.9610937237739563,0.46492281556129456,57.5854606628418,0.9227734208106995,3.0,32.0,7.0,valid,gelu,he_normal,True,3.0,1.0,1,128,he_normal,0.1,0.00041818829630028666,1.0,0.1,False,False,,,,,,,,
sell_signal,,Conv1D,019,-2.4343003273010253,0.9946874976158142,0.514707624912262,39.436954498291016,0.994921863079071,3.0,32.0,3.0,same,gelu,glorot_normal,False,3.0,2.0,2,96,glorot_normal,0.5,0.0021765065892749877,2.0,0.5,True,False,,,,,,,,
